slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
atomic-wallet,!provider:atomic-wallet,"[""[Website](https://atomicwallet.io/)""]",FALSE,"[""iOS"",""Android"",""Desktop""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
sorted-wallet,!provider:sorted-wallet,"[""[Website](https://www.sorted.io/wallet)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
saakuru-wallet,!provider:saakuru-wallet,"[""[Website](https://www.saakuru.com/app)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
ecoin-wallet,!provider:ecoin-wallet,"[""[Website](https://ecoinwallet.org/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
nufi-wallet,!provider:nufi-wallet,"[""[Website](https://nu.fi/)""]",FALSE,"[""Web""]",FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
coin-wallet,!provider:coin-wallet,"[""[Website](https://coin.space/)""]",TRUE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
clave-wallet,!provider:clave-wallet,"[""[Website](https://www.getclave.com/)""]",TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
walletverse,!provider:walletverse,"[""[Website](https://walletverse.io/)""]",FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
iron-wallet,!provider:iron-wallet,"[""[Website](https://ironwallet.io/)""]",TRUE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
binance-wallet,!provider:binance-wallet,"[""[Website](https://www.binance.com/en/web3wallet)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
cwallet,!provider:cwallet,"[""[Website](https://cwallet.com/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
ascoin-wallet,!provider:ascoin-wallet,"[""[Website](https://www.ascoin.pro/)""]",FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
blocto-wallet,!provider:blocto-wallet,"[""[Website](https://blocto.io/)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
ownbit,!provider:ownbit,"[""[Website](https://ownbit.io/en/)""]",TRUE,"[""iOS"",""Android""]",FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,
cake-wallet,!provider:cake-wallet,"[""[Website](https://cakewallet.com/)""]",TRUE,"[""iOS"",""Android"",""Desktop""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
fluvi-wallet,!provider:fluvi-wallet,"[""[Website](https://fluviwallet.xyz/)""]",FALSE,"[""Web"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
wigwam,!provider:wigwam,"[""[Website](https://wigwam.app/)""]",TRUE,"[""Web""]",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
coinomi-wallet,!provider:coinomi-wallet,"[""[Website](https://www.coinomi.com/)""]",FALSE,"[""iOS"",""Android"",""Desktop""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
math-wallet,!provider:math-wallet,"[""[Website](https://mathwallet.org/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
