slug,provider,chain,technology,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,txSpeedSla,throughputSla,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons
smolrefuel,!provider:smolrefuel,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://smolrefuel.com"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.smolrefuel.com"",""type"":""external""}]"
transporter,!provider:transporter,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://www.transporter.io"",""type"":""external""}]"
garden,!provider:garden,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://garden.finance"",""type"":""external""},{""label"":""Docs"",""url"":""https://garden.finance"",""type"":""external""}]"
valuerouter,!provider:valuerouter,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://app.valuerouter.com"",""type"":""external""},{""label"":""Docs"",""url"":""https://app.valuerouter.com"",""type"":""external""}]"
veda,!provider:veda,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://veda.tech"",""type"":""external""},{""label"":""Docs"",""url"":""https://veda.tech"",""type"":""external""}]"
crosscurve,!provider:crosscurve,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://crosscurve.fi"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.crosscurve.fi"",""type"":""external""}]"
chainport,!provider:chainport,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://www.chainport.io"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.chainport.io/bridging"",""type"":""external""}]"
routernitro,!provider:routernitro,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://routernitro.com"",""type"":""external""},{""label"":""Docs"",""url"":""https://routernitro.com/swap"",""type"":""external""}]"
messina-one,!provider:messina,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://messina.one"",""type"":""external""},{""label"":""Docs"",""url"":""https://messina.one/bridge"",""type"":""external""}]"
universalx,!provider:universalx,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://universalx.app"",""type"":""external""},{""label"":""Docs"",""url"":""https://universalx.app"",""type"":""external""}]"
alldomains-bridge,!provider:alldomains-bridge,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://bridge.alldomains.id"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.alldomains.id/protocol/solana-eclipse-bridge"",""type"":""external""}]"
celer-cbridge,!provider:celer,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://cbridge.celer.network/1/56/USDC"",""type"":""external""},{""label"":""Docs"",""url"":""https://cbridge.celer.network"",""type"":""external""}]"
chainlink-ccip,!provider:chainlink-bridge,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://chain.link/education-hub/cross-chain-bridge"",""type"":""external""},{""label"":""Docs"",""url"":""https://chain.link/education-hub/cross-chain-bridge"",""type"":""external""}]"
enosys-bridge,!provider:enosys-bridge,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://bridge.enosys.global"",""type"":""external""},{""label"":""Docs"",""url"":""https://enosys.global"",""type"":""external""}]"
