slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
dfns-sdk-starter,,!offer:dfns-sdk-starter,"[""[Buy](https://www.dfns.co/pricing)"",""[Docs](https://docs.dfns.co/sdks)"" ]",,,,,,,,,,,,,,
dynamic-sdk-free,,!offer:dynamic-sdk-free,"[""[Website](https://www.dynamic.xyz/sdk)"",""[Docs](https://www.dynamic.xyz/docs/unity/sdk-reference/overview)""]",,,,,,,,,,,,,,
dynamic-sdk-growth,,!offer:dynamic-sdk-growth,"[""[Website](https://www.dynamic.xyz/sdk)"",""[Docs](https://www.dynamic.xyz/docs/unity/sdk-reference/overview)""]",,,,,,,,,,,,,,
embark,,!offer:embark,"[""[Website](https://github.com/embarklabs/embark)""]",,,,,,,,,,,,,,
ens-js,,!offer:ens-js,"[""[Website](https://github.com/ensdomains/ensjs?tab=readme-ov-file)""]",,,,,,,,,,,,,,
eth-tx,,!offer:eth-tx,"[""[Website](https://github.com/EthTx/ethtx)""]",,,,,,,,,,,,,,
ethers-js,,!offer:ethers-js,"[""[Website](https://docs.ethers.org/v6/)""]",,,,,,,,,,,,,,
etherspot,,!offer:etherspot,"[""[Website](https://etherspot.io)"", ""[Docs](https://etherspot.fyi/prime-sdk/intro)""]",,,,,,,,,,,,,,
foundry,,!offer:foundry,"[""[Docs](https://book.getfoundry.sh/)""]",,,,,,,,,,,,,,
fuzzlib,,!offer:fuzzlib,"[""[Website](https://github.com/perimetersec/fuzzlib)""]",,,,,,,,,,,,,,
halliday-sdk,,!offer:halliday-sdk,"[""[Docs](https://docs.halliday.xyz/pages/payments-sdk-docs)""]",,,,,,,,,,,,,,
hardhat,,!offer:hardhat,"[""[Docs](https://hardhat.org/docs)""]",,,,,,,,,,,,,,
huff,,!offer:huff,,,,,,,,,,,,,,,
huffmate,,!offer:huffmate,"[""[Website](https://github.com/huff-language/huffmate)""]",,,,,,,,,,,,,,
hyperlane-sdk,,!offer:hyperlane-sdk,"[""[Docs](https://docs.hyperlane.xyz/docs/reference/developer-tools/typescript-sdk/overview)""]",,,,,,,,,,,,,,
layerzero-sdk,,!offer:layerzero-sdk,"[""[Docs](https://docs.layerzero.network/v2/tools/sdks/options)""]",,,,,,,,,,,,,,
lens-sdk,,!offer:lens-sdk,"[""[Website](https://github.com/lens-protocol/lens-sdk)""]",,,,,,,,,,,,,,
lifi-sdk,,!offer:lifi-sdk,"[""[Docs](https://docs.li.fi/sdk/overview)""]",,,,,,,,,,,,,,
magic,,!offer:magic,"[""[Website](https://magic.link/)""]",,,,,,,,,,,,,,
matic-js,,!offer:matic-js,"[""[Website](https://github.com/0xPolygon/matic.js)""]",,,,,,,,,,,,,,
moralis-sdk-javascript,,!offer:moralis-sdk-javascript,,,,,,,,,,,,,,,
moralis-sdk-python,,!offer:moralis-sdk-python,,,,,,,,,,,,,,,
ocean-protocol-sdk,,!offer:ocean-protocol-sdk,"[""[Docs](https://docs.oceanprotocol.com/developers)""]",,,,,,,,,,,,,,
open-zeppelin-test-helpers,,!offer:open-zeppelin-test-helpers,"[""[Docs](https://docs.openzeppelin.com/)""]",,,,,,,,,,,,,,
openzeppelin,,!offer:openzeppelin,"[""[Docs](https://docs.openzeppelin.com/contracts)""]",,,,,,,,,,,,,,
prb-test,,!offer:prb-test,"[""[Website](https://github.com/PaulRBerg/prb-test)""]",,,,,,,,,,,,,,
quicknode-sdk-accelerate,,!offer:quicknode-sdk-accelerate,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",,,,,,,,,,,,,,
quicknode-sdk-build,,!offer:quicknode-sdk-build,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",,,,,,,,,,,,,,
quicknode-sdk-business,,!offer:quicknode-sdk-business,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",,,,,,,,,,,,,,
quicknode-sdk-scale,,!offer:quicknode-sdk-scale,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",,,,,,,,,,,,,,
quiver,,!offer:quiver,"[""[Website](https://github.com/raid-guild/quiver)""]",,,,,,,,,,,,,,
swap-kit,,!offer:swap-kit,"[""[Website](https://swapkit.dev/)""]",,,,,,,,,,,,,,
tatum-sdk-free,,!offer:tatum-sdk-free,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",,,,,,,,,,,,,,
tatum-sdk-pro,,!offer:tatum-sdk-pro,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",,,,,,,,,,,,,,
tatum-sdk-scale,,!offer:tatum-sdk-scale,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",,,,,,,,,,,,,,
tatum-sdk-starter,,!offer:tatum-sdk-starter,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",,,,,,,,,,,,,,
thirdweb-sdk,,!offer:thirdweb-sdk,"[""[Docs](https://portal.thirdweb.com/references/typescript/v5)""]",,,,,,,,,,,,,,
turnkey-sdk-free,,!offer:turnkey-sdk-free,"[""[Website](https://turnkey.com/)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",,,,,,,,,,,,,,
turnkey-sdk-pro,,!offer:turnkey-sdk-pro,"[""[Buy](https://www.turnkey.com/pricing)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",,,,,,,,,,,,,,
uniswap-web3-react,,!offer:uniswap-web3-react,"[""[Website](https://github.com/Uniswap/web3-react)""]",,,,,,,,,,,,,,
vyper,,!offer:vyper,"[""[Docs](https://docs.vyperlang.org/en/latest/)""]",,,,,,,,,,,,,,
waffle,,!offer:waffle,"[""[Website](https://github.com/Waffle/waffle)""]",,,,,,,,,,,,,,
wagmi,,!offer:wagmi,"[""[Website](https://wagmi.sh/)""]",,,,,,,,,,,,,,
wake,,!offer:wake,"[""[Website](https://getwake.io/)""]",,,,,,,,,,,,,,
walletkit-individual,,!offer:walletkit-individual,"[""[Buy](https://walletkit.com/pricing/)""]",,,,,,,,,,,,,,
walletkit-startup,,!offer:walletkit-startup,"[""[Buy](https://walletkit.com/pricing/)""]",,,,,,,,,,,,,,
web3-js,,!offer:web3-js,"[""[Docs](https://web3js.readthedocs.io/)""]",,,,,,,,,,,,,,
web3-py,,!offer:web3-py,"[""[Docs](https://web3py.readthedocs.io/)""]",,,,,,,,,,,,,,
web3auth-base,,!offer:web3auth-base,"[""[Website](https://web3auth.io/index.html)"",""[Docs](https://web3auth.io/docs/)""]",,,,,,,,,,,,,,
web3auth-growth,,!offer:web3auth-growth,"[""[Buy](https://web3auth.io/pricing.html)"",""[Docs](https://web3auth.io/docs/)""]",,,,,,,,,,,,,,
web3auth-scale,,!offer:web3auth-scale,"[""[Buy](https://web3auth.io/pricing.html)"",""[Docs](https://web3auth.io/docs/)""]",,,,,,,,,,,,,,
wormhole-sdk-free,,!offer:wormhole-sdk-free,"[""[Docs](https://wormhole.com/docs/tools/typescript-sdk/get-started/)""]",,,,,,,,,,,,,,
wormhole-sdk-usage,,!offer:wormhole-sdk-usage,"[""[Docs](https://wormhole.com/docs/tools/typescript-sdk/get-started/)""]",,,,,,,,,,,,,,
zksync-sdk,,!offer:zksync-sdk,"[""[Docs](https://docs.zksync.io/zksync-network/sdk)""]",,,,,,,,,,,,,,
