slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedUptimeBlocksAvg,actionButtons
chain-love-shibuya-dedicated-archive,Chain.Love,Dedicated,Full Archive,shibuya,$180,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-shibuya-dedicated,Chain.Love,Dedicated,Recent-State,shibuya,$120,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-shiden-free-archive,Chain.Love,Free,Full Archive,shiden,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""100k requests per month""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Website"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-shiden-pay-as-you-go-archive,Chain.Love,Pay-As-You-Go,Full Archive,shiden,$10,$1 per 1M requests,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-shiden-dedicated-archive,Chain.Love,Dedicated,Full Archive,shiden,$300,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-shiden-dedicated,Chain.Love,Dedicated,Recent-State,shiden,$200,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
blockdaemon-astar-dedicated,Blockdaemon,Dedicated,Recent-State,astar,$899/$1599,0,99.9,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],[],[],"[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""] ",null,null,null,"[{""label"":""Buy"", ""url"":""https://app.blockdaemon.com/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockdaemon.com/docs/astar"", ""type"":""external""}]"
blockdaemon-shibuya-dedicated,Blockdaemon,Dedicated,Recent-State,shibuya,$899/$1599,0,99.9,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],[],[],"[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""] ",null,null,null,"[{""label"":""Buy"", ""url"":""https://app.blockdaemon.com/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockdaemon.com/docs/astar"", ""type"":""external""}]"
blockdaemon-shiden-dedicated,Blockdaemon,Dedicated,Recent-State,shiden,$899/$1599,0,99.9,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],[],[],"[""South Africa"", ""Asia"", ""Canada Central"", ""Europe"", ""South America"", ""US""] ",null,null,null,"[{""label"":""Buy"", ""url"":""https://app.blockdaemon.com/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockdaemon.com/docs/astar"", ""type"":""external""}]"
dwellir-astar-free-archive,Dwellir,Free,Archive,astar,$0 or $5 for account creation,$0,Null,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""20 requests per second"", ""500k requests/day""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://astar-rpc.dwellir.com/"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
