slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
dipdup-testnet-free-indexer,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/sonic#sonic-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-free-full-archive,,!offer:drpc-free-full-archive,"[""[Website](https://drpc.org/chainlist/sonic-mainnet-rpc)"",""[Docs](https://drpc.org/docs/sonic-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-pay-as-you-go-full-archive,,!offer:drpc-pay-as-you-go-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-public-full-archive,,!offer:drpc-public-full-archive,"[""[Access](https://sonic.drpc.org)"",""[Docs](https://drpc.org/docs/sonic-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-free-full-archive,,!offer:drpc-free-full-archive,"[""[Website](https://drpc.org/chainlist/sonic-testnet-rpc)"",""[Docs](https://drpc.org/docs/sonic-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-pay-as-you-go-full-archive,,!offer:drpc-pay-as-you-go-full-archive,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs/sonic-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-public-full-archive,,!offer:drpc-public-full-archive,"[""[Access](https://sonic-testnet-v2.drpc.org)"",""[Docs](https://drpc.org/docs/sonic-api)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-dedicated-full-archive,,!offer:dwellir-dedicated-full-archive,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/sonic)""]",,,,,,mainnet,$2670/mo,,,,,,,,,,,,,,,,,,
dwellir-mainnet-developer-full-archive,,!offer:dwellir-developer-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-free-full-archive,,!offer:dwellir-free-full-archive,"[""[Website](https://www.dwellir.com/networks/sonic)"",""[Docs](https://www.dwellir.com/docs/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-growth-full-archive,,!offer:dwellir-growth-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-scale-full-archive,,!offer:dwellir-scale-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-dedicated-full-archive,,!offer:dwellir-dedicated-full-archive,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/sonic)""]",,,,,,testnet,$2670/mo,,,,,,,,,,,,,,,,,,
