slug,provider,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
openfort-sdk,Openfort,"[""[Docs](https://www.openfort.io/docs) ""]",SDK,TypeScript,"[""Gaming"",""Account Abstraction""]","Wallet-as-a-service for web3 gaming",Pay-as-you-go,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
aarc-sdk,Aarc,"[""[Docs](https://docs.aarc.xyz/)""]",SDK,TypeScript,"[""Account Abstraction"",""DevOps""]","Full-stack AA infrastructure",Pay-as-you-go,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
candide-sdk,Candide,"[""[Docs](https://docs.candide.dev/)""]",SDK,TypeScript,"[""Account Abstraction"",""Mobile""]","Mobile-first smart wallet SDK",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
layerzero-sdk,LayerZero,"[""[Docs](https://layerzero.gitbook.io/docs/)""]",SDK,Solidity,"[""Cross-chain"",""Omnichain""]","Omnichain interoperability protocol",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
axelar-sdk,Axelar,"[""[Docs](https://docs.axelar.dev/)""]",SDK,Solidity,"[""Cross-chain"",""Interop""]","Secure cross-chain communication for Web3",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
wormhole-sdk,Wormhole,"[""[Docs](https://docs.wormhole.com/)""]",SDK,TypeScript,"[""Cross-chain"",""Message""]","Generic message passing protocol for cross-chain apps",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ccip-sdk,Chainlink CCIP,"[""[Docs](https://docs.chain.link/ccip)""]",SDK,Solidity,"[""Cross-chain"",""Interop""]","Cross-Chain Interoperability Protocol by Chainlink",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
stargate-sdk,Stargate,"[""[Docs](https://stargateprotocol.gitbook.io/stargate/)""]",SDK,Solidity,"[""Bridge"",""Liquidity""]","Fully composable liquidity transport protocol",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
hyperlane-sdk,Hyperlane,"[""[Docs](https://docs.hyperlane.xyz/)""]",SDK,TypeScript,"[""Cross-chain"",""Modular""]","Permissionless interoperability layer",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
pancakeswap-sdk,PancakeSwap,"[""[Docs](https://docs.pancakeswap.finance/developers/smart-contracts/pancakeswap-exchange/v3-contracts)""]",SDK,TypeScript,"[""DeFi"",""DEX""]","SDK for interacting with the leading DEX on BSC",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
uniswap-sdk,Uniswap,"[""[Docs](https://docs.uniswap.org/sdk/introduction)""]",SDK,TypeScript,"[""DeFi"",""DEX""]","SDK for the Uniswap Protocol",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
0x-sdk,0x,"[""[Docs](https://0x.org/docs/)""]",SDK,TypeScript,"[""DeFi"",""Swap""]","API and SDK for decentralized exchange infrastructure",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
rubic-sdk,!provider:rubic-sdk,,,,,,,,,,,,,,,
paraswap-sdk,ParaSwap,"[""[Docs](https://developers.paraswap.network/)""]",SDK,TypeScript,"[""DeFi"",""Aggregator""]","SDK for the ParaSwap DEX aggregator",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
kyberswap-sdk,KyberSwap,"[""[Docs](https://docs.kyberswap.com/)""]",SDK,TypeScript,"[""DeFi"",""Aggregator""]","DEX aggregator and liquidity protocol SDK",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
superfluid-sdk,Superfluid,"[""[Docs](https://docs.superfluid.finance/)""]",SDK,TypeScript,"[""DeFi"",""Streaming""]","Asset streaming protocol for real-time finance",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
pendle-sdk,Pendle,"[""[Docs](https://docs.pendle.finance/)""]",SDK,TypeScript,"[""DeFi"",""Yield""]","Protocol for tokenizing and trading future yield",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
centrifuge-sdk,Centrifuge,"[""[Docs](https://docs.centrifuge.io/)""]",SDK,TypeScript,"[""RWA"",""Finance""]","Protocol for financing real-world assets on-chain",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
goldfinch-sdk,Goldfinch,"[""[Docs](https://docs.goldfinch.finance/)""]",SDK,TypeScript,"[""Credit"",""Lending""]","Decentralized credit protocol",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
slither,Slither,"[""[Docs](https://github.com/crytic/slither/wiki)""]",Library,Python,"[""Security"",""Audit""]","Static analysis framework for Solidity",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
echidna,Echidna,"[""[Docs](https://github.com/crytic/echidna)""]",Library,Haskell,"[""Security"",""Fuzzing""]","Ethereum smart contract fuzzer",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
medusa,Medusa,"[""[Docs](https://github.com/crytic/medusa)""]",Library,Go,"[""Security"",""Fuzzing""]","Parallel coverage-guided fuzzer for smart contracts",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
tenderly-sdk,Tenderly,"[""[Docs](https://docs.tenderly.co/)""]",SDK,TypeScript,"[""Simulation"",""DevOps""]","Full-stack infrastructure for Ethereum developers",Pay-as-you-go,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
forta-sdk,Forta,"[""[Docs](https://docs.forta.network/)""]",SDK,TypeScript,"[""Security"",""Monitoring""]","Real-time detection network for security & operational monitoring",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
openzeppelin,!provider:openzeppelin,,,,,,,,,,,,,,,
defender-sdk,OpenZeppelin Defender,"[""[Docs](https://docs.openzeppelin.com/defender/)""]",SDK,TypeScript,"[""Security"",""Ops""]","Security operations platform for Ethereum",Pay-as-you-go,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
phalcon-sdk,Phalcon,"[""[Docs](https://docs.phalcon.xyz/)""]",SDK,TypeScript,"[""Security"",""Explorer""]","Transaction explorer and analysis tool",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
helio-sdk,Helio,"[""[Docs](https://docs.helio.co/)""]",SDK,TypeScript,"[""Payments"",""Commerce""]","Web3 payments platform",Pay-as-you-go,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
thirdweb-sdk,Thirdweb,"[""[Docs](https://portal.thirdweb.com/)""]",SDK,TypeScript,"[""Development"",""Full-stack""]","Full-stack Web3 development tools",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
moralis-streams-sdk,Moralis Streams,"[""[Docs](https://docs.moralis.io/streams-api)""]",SDK,JavaScript,"[""Data"",""Real-time""]","Real-time blockchain data streaming",Pay-as-you-go,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
