slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,limitations,monitoringAndAnalytics,actionButtons,regions,availableApis,starred,trial,bandwidthSla,blocksBehindSla,securityImprovements,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,address
tatum-io-pay-as-you-go-recent-state-testnet,tatum.io,Pay-as-you-go,Recent-State,testnet,"$49 a month, yearly 40% discount",$0,Best-effort,"[""4M Credits per Month"", ""200 RPS"", ""200K Subscriptions""]","[""Advanced analytics""]","[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
tatum-io-enterprise-recent-state-testnet,tatum.io,Enterprise,Recent-State,testnet,Custom,$0,,,,"[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
nodies-app-free-recent-state-testnet,nodies.app,Free,Recent-State,testnet,$0,$0,Best-effort,"[""4M Calls/month"", ""low rate-limit""]",,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
nodies-app-pay-as-you-go-recent-state-testnet,nodies.app,Pay-as-you-go,Recent-State,testnet,$50-200 a month,$0.00,Best-effort,"[""10M-50M Calls/month"", ""higher rate limit""]",,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
nodies-app-enterprise-recent-state-testnet,nodies.app,Enterprise,Recent-State,testnet,Custom,Flexible,,,,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
publicnode-com-free-recent-state-testnet,publicnode.com,Free,Recent-State,testnet,$0,$0,Best-effort,,,"[""[Docs](https://base.publicnode.com/)""]",,,FALSE,FALSE,,,,,,,
onfinality-io-free-archive-testnet,onfinality.io,Free,Archive,testnet,$0,$0,Best-effort,,,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
onfinality-io-pay-as-you-go-archive-testnet,onfinality.io,Pay-as-you-go,Archive,testnet,$49-249 a month,$0,Best-effort,"[""higher rate limits""]",,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
onfinality-io-enterprise-archive-testnet,onfinality.io,Enterprise,Archive,testnet,Custom,Flexible,,,,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
tenderly-co-free-recent-state-testnet,tenderly.co,Free,Recent-State,testnet,$0,$0,Best-effort,"[""120K sims/mo via API"", ""1.25-25M Calls/month"", ""0.5-10 RPS""]",,"[""[Buy](https://tenderly.co/pricing#compare)"", ""[Docs](https://docs.tenderly.co/)""]","[""EU West (Frankfurt, Germany)""]",,FALSE,FALSE,,,,,,,
tenderly-co-pay-as-you-go-recent-state-testnet,tenderly.co,Pay-as-you-go,Recent-State,testnet,"$50-500 a month, yearly 10% discount",$0,Best-effort,"[""160K-300K sims/mo via API"", ""1.75-350M Calls/month"", ""1-300 RPS""]",,"[""[Buy](https://tenderly.co/pricing#compare)"", ""[Docs](https://docs.tenderly.co/)""]","[""EU West (Frankfurt, Germany)""]",,FALSE,FALSE,,,,,,,
tenderly-co-enterprise-recent-state-testnet,tenderly.co,Enterprise,Recent-State,testnet,Custom,Flexible,,,,"[""[Buy](https://tenderly.co/pricing#compare)"", ""[Docs](https://docs.tenderly.co/)""]","[""EU West (Frankfurt, Germany)""]",,FALSE,FALSE,,,,,,,
therpc-io-free-recent-state-testnet,therpc.io,Free,Recent-State,testnet,$0,$0,95-97% uptime SLA,"[""5-15 RPS""]",,,,,FALSE,FALSE,,,,,,,
therpc-io-pay-as-you-go-recent-state-testnet,therpc.io,Pay-as-you-go,Recent-State,testnet,$0,$0.49 per 1M CU,99.99% uptime SLA,"[""500 RPS""]",,,,,FALSE,FALSE,,,,,,,
therpc-io-enterprise-recent-state-testnet,therpc.io,Enterprise,Recent-State,testnet,Custom,Flexible,99.99% uptime SLA,,,,,,FALSE,FALSE,,,,,,,
base-org-free-recent-state-testnet,base.org,Free,Recent-State,testnet,$0,$0,Best-effort,"[""Rate-limited""]",,,,,FALSE,FALSE,,,,,,,
llamarpc-com-free-recent-state-mainnet,llamarpc.com,Free,Recent-State,mainnet,$0,$0,Best-effort,,,"[""[Docs](https://llamanodes.notion.site/)""]",,,FALSE,FALSE,,,,,,,
meowrpc-com-free-recent-state-mainnet,meowrpc.com,Free,Recent-State,mainnet,$0,$0,Best-effort,,,"[""[Docs](https://meowrpc.com/)""]",,,FALSE,FALSE,,,,,,,
subquery-network-free-archive-mainnet,subquery.network,Free,Archive,mainnet,$0,$0,Best-effort,"[""30 RPS""]",,,,,FALSE,FALSE,,,,,,,
owlracle-info-free-recent-state-mainnet,owlracle.info,Free,Recent-State,mainnet,$0,$0,Best-effort,"[""Rate-limited""]",,,,,FALSE,FALSE,,,,,,,
