slug,provider,plan,nodeType,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedBlocksBehindAvg,actionButtons
chainbase-pay-as-you-go-recent-state,ChainBase,Pay-as-you-go,Recent-State,$99,null,null,,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""600 req/min""]","[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Usage analytics"", ""Custom monitoring"", ""Support portal""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://platform.chainbase.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.chainbase.com/platform/features/api/chain-rpc"", ""type"":""external""}]"
chainbase-enterprise-recent-state,ChainBase,Enterprise,Recent-State,Custom,Custom,Custom,,,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],"[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Advanced analytics"", ""Custom monitoring""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://platform.chainbase.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.chainbase.com/platform/features/api/chain-rpc"", ""type"":""external""}]"
chainstack-free-recent-state,ChainStack,Free,Recent-State,$0,"included 3M req, extra $20 per 1M req",99.90%,,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1500 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://chainstack.com/pricing/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.chainstack.com/docs/"", ""type"":""external""}]"
chainstack-pay-as-you-go-full-archive,ChainStack,Pay-as-you-go,Full Archive,$49 / 199 / 349,"included 20 / 80 / 140M req, extra $15 / 12.5 / 10 per 1M req",99.90%,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""15k / 24k / 36k req/min""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://chainstack.com/pricing/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.chainstack.com/docs/"", ""type"":""external""}]"
chainstack-enterprise-full-archive,ChainStack,Enterprise,Full Archive,€990,"included 400M req, extra $5 per 1M req",99.90%,,,FALSE,TRUE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""unlimited""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Advanced analytics"",""Custom monitoring""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://chainstack.com/pricing/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.chainstack.com/docs/"", ""type"":""external""}]"
dwellir-free-full-archive,Dwellir,Free,Full Archive,$0 or $5 for account creation,$0,Null,Null,Null,FALSE,FALSE,"[""trace"", ""debug""]","[""20 requests per second"", ""500k requests/day""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":"""", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-pay-as-you-go-full-archive,Dwellir,Pay-as-you-go,Full Archive,$49/$299/$999 with 25M/150M/500M requests included,$2 per 1M requests,Null,Null,Null,FALSE,FALSE,"[""trace"", ""debug""]","[""100/500/2000 requests per second""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-dedicated-full-archive,Dwellir,Dedicated,Full Archive,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""trace"", ""debug""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-dedicated-recent-state,Dwellir,Dedicated,Recent-State,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""trace"", ""debug""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
nownodes-free-recent-state,Nownodes,Free,Recent-State,0,"Free (100,000 included only)",,,,FALSE,FALSE,,"[""100k requests"", ""no more than 1 month"", ""no more than 1 key""]",,,,,,,
