slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,authenticationMethods,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla,networkSupportBasis
chainstack-mainnet-developer-recent-state,137,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-full-archive,137,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-recent-state,137,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-full-archive,137,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-recent-state,137,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-dedicated-full-archive,137,,!offer:crypto-apis-dedicated-full-archive,,,,,,,,mainnet,$3270,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-dedicated-recent-state,137,,!offer:crypto-apis-dedicated-recent-state,,,,,,,,mainnet,$3270,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-full-archive,137,,!offer:crypto-apis-free-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-recent-state,137,,!offer:crypto-apis-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-full-archive,137,,!offer:crypto-apis-pro-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-recent-state,137,,!offer:crypto-apis-pro-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-full-archive,137,,!offer:crypto-apis-scale-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-recent-state,137,,!offer:crypto-apis-scale-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-full-archive,137,,!offer:crypto-apis-starter-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-recent-state,137,,!offer:crypto-apis-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
dipdup-amoy-free-indexer,137,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/polygon#polygon-amoy-testnet)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
dipdup-mainnet-free-indexer,137,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
dwellir-amoy-developer-full-archive,137,,!offer:dwellir-developer-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
dwellir-amoy-free-full-archive,137,,!offer:dwellir-free-full-archive,"[""[Website](https://www.dwellir.com/networks/polygon)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
dwellir-amoy-growth-full-archive,137,,!offer:dwellir-growth-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
dwellir-amoy-scale-full-archive,137,,!offer:dwellir-scale-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-developer-recent-state,137,,!offer:dwellir-developer-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-free-recent-state,137,,!offer:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/polygon)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-growth-recent-state,137,,!offer:dwellir-growth-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-scale-recent-state,137,,!offer:dwellir-scale-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
envio-amoy-free-indexer,137,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/polygon-amoy)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
envio-amoy-pay-as-you-go-indexer,137,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/polygon-amoy)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
envio-mainnet-free-indexer,137,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go-indexer,137,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
etherscan-api-amoy-advanced-full-archive,137,,!offer:etherscan-api-advanced-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
etherscan-api-amoy-free-full-archive,137,,!offer:etherscan-api-free-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
etherscan-api-amoy-lite-full-archive,137,,!offer:etherscan-api-lite-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
etherscan-api-amoy-pro-plus-full-archive,137,,!offer:etherscan-api-pro-plus-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
etherscan-api-amoy-professional-full-archive,137,,!offer:etherscan-api-professional-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
etherscan-api-amoy-standard-full-archive,137,,!offer:etherscan-api-standard-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
etherscan-api-mainnet-advanced-full-archive,137,,!offer:etherscan-api-advanced-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
etherscan-api-mainnet-free-full-archive,137,,!offer:etherscan-api-free-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
etherscan-api-mainnet-lite-full-archive,137,,!offer:etherscan-api-lite-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
etherscan-api-mainnet-pro-plus-full-archive,137,,!offer:etherscan-api-pro-plus-full-archive,"[""[Docs](https://docs.etherscan.io/supported-chains)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
