slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,address
tenderly-mainnet-premium,Tenderly,Premium,Recent-State,mainnet,null,null,99.9,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://tenderly.co/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",
tenderly-testnet-free,Tenderly,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://tenderly.co/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",
tenderly-testnet-premium,Tenderly,Premium,Recent-State,testnet,null,null,99.9,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://tenderly.co/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",
thirdweb-mainnet-free,thirdweb,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://thirdweb.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",
thirdweb-mainnet-premium,thirdweb,Premium,Recent-State,mainnet,null,null,null,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://thirdweb.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",
thirdweb-testnet-free,thirdweb,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://thirdweb.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",
thirdweb-testnet-premium,thirdweb,Premium,Recent-State,testnet,null,null,null,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://thirdweb.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",
chainstack-mainnet-free,Chainstack,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""3M RU per month, 100 RU per second""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://chainstack.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/chainstack)""]",
chainstack-mainnet-premium,Chainstack,Premium,Recent-State,mainnet,null,null,null,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]","[""20M RU per month, 600 RU per second""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://chainstack.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/chainstack)""]",
chainstack-testnet-free,Chainstack,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""3M RU per month, 100 RU per second""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://chainstack.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/chainstack)""]",
chainstack-testnet-premium,Chainstack,Premium,Recent-State,testnet,null,null,null,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]","[""20M RU per month, 600 RU per second""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://chainstack.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/chainstack)""]",
