slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
solx402-mcp-server,Leandro Gavidia,,"[""[Website](https://github.com/leandrogavidia/solx402-mcp-server)"",""[Docs](https://github.com/leandrogavidia/solx402-mcp-server#readme)""]",wallets,Self-hosted,stdio,,None,TRUE,TRUE,"[""x402-payments"",""solana-payments""]","[""Solana"",""x402"",""payments"",""AI agents""]","MCP server enabling AI assistants to interact with x402 payment flows on Solana",Free,,$0,FALSE,FALSE
token-minter-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/token-minter-mcp)"",""[Docs](https://github.com/kukapay/token-minter-mcp#readme)""]",smart-contract,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""erc20-token-deployment"",""token-transfer"",""token-metadata-query"",""balance-check""]","[""EVM"",""ERC-20"",""token minting"",""smart contracts"",""AI agents""]","MCP server providing tools for AI agents to deploy and manage ERC-20 tokens across 21 EVM blockchains via Infura API",Free,,$0,FALSE,FALSE
token-revoke-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/token-revoke-mcp)"",""[Docs](https://github.com/kukapay/token-revoke-mcp#readme)""]",smart-contract,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""token-approval-check"",""token-approval-revoke"",""transaction-status-check""]","[""EVM"",""ERC-20"",""token approvals"",""security"",""AI agents""]","MCP server for AI agents to check and revoke ERC-20 token allowances across multiple EVM blockchains using the Moralis API",Free,,$0,FALSE,FALSE
ucai,UCAI,,"[""[Website](https://github.com/nirholas/UCAI)"",""[Docs](https://github.com/nirholas/UCAI#readme)""]",smart-contract,Self-hosted,stdio,,None,FALSE,TRUE,"[""abi-to-mcp-generation"",""smart-contract-interaction""]","[""ABI"",""Smart contracts"",""EVM"",""DeFi"",""AI agents""]","Universal Contract AI Interface - open standard for connecting AI agents to blockchain via ABI-to-MCP server generation for smart contracts on EVM chains",Free,,$0,FALSE,FALSE
uniswap-trader-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/uniswap-trader-mcp)"",""[Docs](https://github.com/kukapay/uniswap-trader-mcp#readme)""]",smart-contract,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""token-swap"",""price-quote"",""liquidity-route-optimization""]","[""EVM"",""DeFi"",""Uniswap"",""token swaps"",""AI agents""]","MCP server for AI agents to automate token swaps on Uniswap V3 DEX across Ethereum, Optimism, Polygon, Arbitrum, BNB Chain, Avalanche, and Base",Free,,$0,FALSE,FALSE
universal-crypto-mcp,Nirholas,,"[""[Website](https://github.com/nirholas/universal-crypto-mcp)"",""[Docs](https://github.com/nirholas/universal-crypto-mcp#readme)""]",services,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""swap"",""bridge"",""staking"",""lending""]","[""EVM"",""DeFi"",""multi-chain"",""AI agents""]","Universal MCP server for AI agents to interact with multiple EVM blockchains via plugins",Free,,$0,FALSE,FALSE
wallet-agent,Wallet Agent,,"[""[Website](https://github.com/wallet-agent/wallet-agent)"",""[Docs](https://github.com/wallet-agent/wallet-agent#readme)""]",wallets,Self-hosted,stdio,,None,FALSE,TRUE,"[""wallet-management"",""transaction-execution""]","[""Wallet"",""EVM"",""Wagmi"",""Web3"",""AI agents""]","MCP server for Web3 wallet interactions on EVM-compatible chains, enabling AI agents to manage wallets and execute transactions",Free,,$0,FALSE,FALSE
wallet-inspector-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/wallet-inspector-mcp)"",""[Docs](https://github.com/kukapay/wallet-inspector-mcp#readme)""]",analytics,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""wallet-balance-inspection"",""wallet-activity-inspection""]","[""wallet analytics"",""EVM"",""Solana"",""AI agents""]","MCP server for inspecting wallet balances and on-chain activity across major EVM chains and Solana",Free,,$0,FALSE,FALSE
web3-mcp,Strangelove Ventures,,"[""[Website](https://github.com/strangelove-ventures/web3-mcp)"",""[Docs](https://github.com/strangelove-ventures/web3-mcp#readme)""]",wallets,Self-hosted,stdio,,None,FALSE,TRUE,"[""evm-read"",""transaction-send"",""solana-operations"",""utxo-read"",""xrp-operations"",""cardano-operations"",""ton-operations""]","[""EVM"",""Solana"",""UTXO"",""Cardano"",""TON"",""XRP Ledger"",""multi-chain"",""AI agents""]","Multi-chain MCP server for AI agents to interact with Ethereum, Solana, Cardano, UTXO chains, XRP Ledger, and TON",Free,,$0,FALSE,FALSE
whale-tracker-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/whale-tracker-mcp)"",""[Docs](https://github.com/kukapay/whale-tracker-mcp#readme)""]",analytics,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""whale-transaction-monitoring"",""large-tx-detection"",""blockchain-analytics""]","[""whale tracking"",""large transactions"",""multi-chain"",""crypto analytics"",""AI agents""]","MCP server for tracking large cryptocurrency whale transactions using the Whale Alert API across Bitcoin, Ethereum, Solana, and 8 other blockchains",Free,,$0,FALSE,FALSE
